id,session,exp_name,exp_start,stimuli,stim_start,response,rt,block,stim_targ_names,resp_key,stim_dur,type
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_k.bmp,338.9526275,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_w.bmp,339.7020409,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,340.4520019,n,0.5277506,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_f.bmp,341.2017835,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_m.bmp,341.9527589,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_g.bmp,342.7019022,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_l.bmp,343.4526811,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_w.bmp,344.201921,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_h.bmp,344.9523875,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_w.bmp,345.7021989,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_g.bmp,346.4526083,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_m.bmp,347.2018344,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_w.bmp,347.9525719,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_h.bmp,348.7018262,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_r.bmp,349.4527483,n,0.4713674,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_b.bmp,350.2021381,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_v.bmp,350.9525847,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_h.bmp,351.7022709,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_w.bmp,352.4526815,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_m.bmp,353.202026,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_j.bmp,353.9524378,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_m.bmp,354.7018832,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_g.bmp,355.4526339,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_k.bmp,356.2016115,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_b.bmp,356.9521652,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_r.bmp,357.7020791,n,0.4615682,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_n.bmp,358.4524283,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_q.bmp,359.2021111,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_f.bmp,359.9524829,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_r.bmp,360.7020558,n,0.4853383,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_p.bmp,361.4526118,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_k.bmp,362.2021347,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,362.952568,n,0.4271768,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_f.bmp,363.7022588,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_g.bmp,364.4523402,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_k.bmp,365.2020441,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_w.bmp,365.9524625,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_j.bmp,366.7018004,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_p.bmp,367.4519682,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_g.bmp,368.2019477,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
